URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Circuit court clerks
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Mill beam fitters
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,Top executives
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200,Broadcast engineers
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Grooms
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"$46,270 per year  $22.25 per hour",Bachelor's degree,None,None,52000,-11% (Decline),-5800,Book critics
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Medical illustrators
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,"$44,180 per year  $21.24 per hour",See How to Become One,None,See How to Become One,61300,3% (As fast as average),1800,Pipe insulators
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,"$58,110 per year",Bachelor's degree,Less than 5 years,None,209700,2% (Slower than average),3400,High school career and technical education teachers
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,"$44,180 per year  $21.24 per hour",See How to Become One,None,See How to Become One,61300,3% (As fast as average),1800,Insulators
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,Commissioners
https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,"$85,260 per year  $40.99 per hour",Bachelor's degree,Less than 5 years,None,876300,11% (Much faster than average),93800,Program analysts
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Purchase-and-sales clerks
https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm,"$80,370 per year  $38.64 per hour",See How to Become One,None,Internship/residency,192300,3% (As fast as average),5700,Psychologists
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,Research librarians
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200,Electricians
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Crate builders
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Casino dealers
https://www.bls.gov/ooh/protective-service/security-guards.htm,"$29,710 per year  $14.29 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,1164600,3% (As fast as average),33300,Security guards and gaming surveillance officers
https://www.bls.gov/ooh/media-and-communication/photographers.htm,"$36,280 per year  $17.44 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4% (Decline),-4800,Medical photographers
https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,"$42,350 per year  $20.36 per hour",High school diploma or equivalent,None,See How to Become One,179700,2% (Slower than average),4300,Automotive body and glass repairers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Motor winders
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,Art conservators
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,"$35,400 per year  $17.02 per hour",Postsecondary nondegree award,None,None,265200,6% (Faster than average),17000,EMTs-basic
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,"$58,110 per year",Bachelor's degree,Less than 5 years,None,209700,2% (Slower than average),3400,Commercial art instructors
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Concrete swimming pool installers
https://www.bls.gov/ooh/management/administrative-services-managers.htm,"$96,940 per year  $46.61 per hour",Bachelor's degree,Less than 5 years,None,325900,6% (Faster than average),21200,Office managers
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,"$73,300 per year  $35.24 per hour",Bachelor's degree,None,None,3096700,7% (Faster than average),221900,RNs
https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm,"$96,400 per year",Master's degree,5 years or more,None,283200,4% (As fast as average),11100,Middle school principals
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,Museum exhibit technicians
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,"$59,200 per year  $28.46 per hour",See How to Become One,None,See How to Become One,55100,32% (Much faster than average),17900,COTAs
https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,"$44,630 per year  $21.46 per hour",High school diploma or equivalent,None,Apprenticeship,52800,4% (As fast as average),2100,Stained glass installers
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300,Special education preschool teachers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Wire winders
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Fiberglass laminators and fabricators
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,"$71,550 per year  $34.40 per hour",Bachelor's degree,None,None,1436100,4% (As fast as average),61700,Tax accountants
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Sports book board attendants
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Transportation clerks
https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,"$59,420 per year",Bachelor's degree,None,None,1579800,4% (As fast as average),56100,4th grade math teachers
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Slot shift managers
https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,"$63,270 per year  $30.42 per hour",Bachelor's degree,None,Moderate-term on-the-job training,316900,3% (As fast as average),10100,"Underwriters, loan"
https://www.bls.gov/ooh/production/machinists-and-tool-and-die-makers.htm,"$45,750 per year  $21.99 per hour",See How to Become One,None,Long-term on-the-job training,460600,3% (As fast as average),12400,Machinists and tool and die makers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Account clerks
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Family practitioners
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200,Apprentice electricians
https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,"$40,280 per year  $19.37 per hour",No formal educational credential,None,Moderate-term on-the-job training,379500,0% (Little or no change),900,Facilities painters
https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,"$54,350 per year  $26.13 per hour",Bachelor's degree,None,None,59300,-10% (Decline),-6200,GED instructors
https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm,"$96,400 per year",Master's degree,5 years or more,None,283200,4% (As fast as average),11100,Assistant principals
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,"$68,890 per year  $33.12 per hour",Bachelor's degree,None,None,42200,-4% (Decline),-1500,Tile designers
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,"$35,400 per year  $17.02 per hour",Postsecondary nondegree award,None,None,265200,6% (Faster than average),17000,Emergency medical technicians
https://www.bls.gov/ooh/management/financial-managers.htm,"$129,890 per year  $62.45 per hour",Bachelor's degree,5 years or more,None,697900,15% (Much faster than average),108100,Financial managers
https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,"$46,240 per year  $22.23 per hour",Bachelor's degree,None,None,319400,25% (Much faster than average),79000,Licensed mental health counselors
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"$46,270 per year  $22.25 per hour",Bachelor's degree,None,None,52000,-11% (Decline),-5800,Political reporters
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,"$29,640 per year  $14.25 per hour",See How to Become One,None,See How to Become One,1579100,8% (Much faster than average),119500,Certified nurse aides
https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,"$87,060 per year  $41.86 per hour",Bachelor's degree,None,None,329200,2% (Slower than average),5500,Construction engineers
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,"$73,300 per year  $35.24 per hour",Bachelor's degree,None,None,3096700,7% (Faster than average),221900,Psychiatric nurses
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Table games dealers
